База: 2492 слов. Под фотографию отобрано 190.

    1/593  activist       27.6 КБ q78                4 c   
    2/593  adolescent     нет картинки               6 c   
    3/593  affluent       нет картинки               8 c   
    4/593  air            4.4 КБ q78                13 c   
    5/593  aircraft       7.7 КБ q78                17 c   
    6/593  airline        6.6 КБ q78                22 c   
    7/593  airport        24.9 КБ q78               22 c   
    8/593  alarm          14.2 КБ q78               22 c   
    9/593  alley          31.5 КБ q78               26 c   
   10/593  ambulance      18.5 КБ q78               33 c   
   11/593  anachronism    нет картинки              35 c   
   12/593  animal         23.5 КБ q78               39 c   
   13/593  anniversary    25.9 КБ q78               43 c   
   14/593  antigen        нет картинки              45 c   
   15/593  apartment      16.7 КБ q78               50 c   
   16/593  apple          16.0 КБ q78               50 c   
   17/593  archipelago    нет картинки              51 c   
   18/593  architecture   29.6 КБ q78               56 c   
   19/593  archive        30.7 КБ q78               61 c   
   20/593  arena          21.0 КБ q78               65 c   
   21/593  art            23.2 КБ q78               69 c   
   22/593  artist         25.1 КБ q78               75 c   
   23/593  astronaut      нет картинки              76 c   
   24/593  athlete        нет картинки              78 c   
   25/593  aunt           24.5 КБ q78               82 c   
   26/593  autumn         38.9 КБ q72               86 c   
   27/593  baboon         нет картинки              88 c   
   28/593  baby           21.4 КБ q78               88 c   
   29/593  bag            20.5 КБ q78               92 c   
   30/593  baker          13.3 КБ q78               98 c   
   31/593  banana         5.1 КБ q78                98 c   
   32/593  bandit         нет картинки              99 c   
   33/593  bank           28.5 КБ q78               99 c   
   34/593  barn           19.3 КБ q78              103 c   
   35/593  barrel         16.8 КБ q78              107 c   
   36/593  baseball       9.5 КБ q78               112 c   
   37/593  basket         27.0 КБ q78              116 c   
   38/593  basketball     27.3 КБ q78              120 c   
   39/593  bat            8.9 КБ q78               125 c   
   40/593  bathroom       нет картинки             127 c   
   41/593  battery        9.1 КБ q78               127 c   
   42/593  bay            8.9 КБ q78               130 c   
   43/593  bear           нет картинки             132 c   
   44/593  bed            10.3 КБ q78              132 c   
   45/593  bedroom        нет картинки             133 c   
   46/593  bee            9.0 КБ q78               138 c   
   47/593  bell           нет картинки             139 c   
   48/593  bicycle        16.1 КБ q78              140 c   
   49/593  bike           16.1 КБ q78              140 c   
   50/593  biology        нет картинки             141 c   
   51/593  biotechnology  15.2 КБ q78              145 c   
   52/593  bird           8.2 КБ q78               145 c   
   53/593  birth          22.5 КБ q78              150 c   
   54/593  birthday       23.9 КБ q78              154 c   
   55/593  blackberry     19.8 КБ q78              158 c   
   56/593  blanket        нет картинки             160 c   
   57/593  boat           9.6 КБ q78               164 c   
   58/593  bone           6.7 КБ q78               169 c   
   59/593  book           17.2 КБ q78              169 c   
   60/593  boot           8.6 КБ q78               169 c   
   61/593  boots          8.6 КБ q78               169 c   
   62/593  bottle         2.2 КБ q78               173 c   
   63/593  boutique       17.3 КБ q78              178 c   
   64/593  bowl           нет картинки             179 c   
   65/593  box            нет картинки             180 c   
   66/593  boy            нет картинки             182 c   
   67/593  brake          25.4 КБ q78              187 c   
   68/593  branch         39.8 КБ q48              191 c   
   69/593  bread          31.0 КБ q78              191 c   
   70/593  breakfast      23.7 КБ q78              191 c   
