К поиску на Pixabay: 944 слов
  25/944, взято 24
  50/944, взято 49
  75/944, взято 73
  100/944, взято 97
  125/944, взято 120
  150/944, взято 141
  175/944, взято 165
  200/944, взято 188
  225/944, взято 211
  250/944, взято 234
  275/944, взято 257
  325/944, взято 301
  350/944, взято 325
  375/944, взято 349
  400/944, взято 372
  425/944, взято 396
  450/944, взято 418
  475/944, взято 443
  500/944, взято 468
  525/944, взято 492
  550/944, взято 516
  575/944, взято 536
  625/944, взято 582
  650/944, взято 606
  675/944, взято 631
  700/944, взято 655
  725/944, взято 678
  750/944, взято 703
  775/944, взято 727
  800/944, взято 751
  825/944, взято 775
  850/944, взято 800
  875/944, взято 825
  900/944, взято 847
  925/944, взято 869
Готово: +888 плиток, всего в сток-манифесте 891; без находки 56
